session,task,gen_reward,det_reward,combined,curriculum_decision
1,easy,0.2906,0.721,0.5058,stay
2,easy,0.288,0.4965,0.39225,stay
3,easy,0.2829,0.4676,0.37525,promote
4,medium,0.3623,0.5961,0.47919999999999996,stay
5,medium,0.4986,0.4476,0.47309999999999997,stay
6,medium,0.287,0.7945,0.54075,stay
